method,time,recall@1000,Experiment,recall@10000
Method 1: Direct INT3,0.5662484169006348,1.0,10k DB,
Method 2: AvgPooling + INT3,0.5110576152801514,0.99678,10k DB,
Method 3: PCA + INT3,0.5726675987243652,0.94216,10k DB,
Method 4: Max Mag Pooling + INT3,0.5030474662780762,0.99754,10k DB,
Method 5: AutoEncoder + INT3,15.800758600234985,0.98168,10k DB,
Method 1: Direct INT3,5.68152928352356,0.99999,100k DB,1.0
Method 2: AvgPooling + INT3,4.72868800163269,0.95913,100k DB,0.99998
Method 3: PCA + INT3,4.294971704483032,0.90849,100k DB,0.99759
Method 4: Max Mag Pooling + INT3,4.983267784118652,0.96632,100k DB,1.0
Method 5: AutoEncoder + INT3,149.0071520805359,0.77165,100k DB,0.99253
Method 1: Direct INT3,44.89026761054993,0.99989,1M DB,1.0
Method 2: AvgPooling + INT3,39.77262806892395,0.86528,1M DB,0.99824
Method 3: PCA + INT3,37.513339042663574,0.86704,1M DB,0.99246
Method 4: Max Mag Pooling + INT3,40.31138586997986,0.89391,1M DB,0.99914
Method 5: AutoEncoder + INT3,1480.1726055145264,0.46473,1M DB,0.842
