Dimension,Method,Recall,Time
128,AvgPooling,0.999999,47.06326413154602
128,PCA,0.707216,43.413742542266846
112,AvgPooling,0.995121,45.94524693489075
112,PCA,0.76482,44.0428249835968
96,AvgPooling,0.986016,45.35877227783203
96,PCA,0.822902,42.70039367675781
80,AvgPooling,0.975737,44.053229570388794
80,PCA,0.871775,40.20210337638855
64,AvgPooling,0.957372,39.85008478164673
64,PCA,0.913172,38.753087520599365
48,AvgPooling,0.868256,38.44441556930542
48,PCA,0.931056,37.17189574241638
32,AvgPooling,0.672247,36.38951754570007
32,PCA,0.925001,35.09323787689209
16,AvgPooling,0.2501,31.602614641189575
16,PCA,0.80007,31.934215784072876
