lsh_bits,mean_accuracy,std
16,70.1696,1.9003925489224593
24,73.8944,1.2093227195418084
32,75.64240000000001,1.8328698371679295
48,77.40239999999999,1.2141989293357174
64,79.25439999999999,1.3108277690070513
128,80.98960000000002,0.5117630701799419
256,80.88879999999999,1.5409189985200384
400,81.80319999999999,1.196946515095806
512,81.684,1.37738651075143
768,82.54159999999999,1.4278511967288467
1024,82.4672,1.0769212413171163
1532,82.91600000000001,0.6348719555941971
2048,82.3112,1.1535459071922523
3000,82.46000000000001,1.5512709627914765
4096,82.4208,1.968117720056398
8192,82.268,1.3460805325091092
